videos	dish	other_names	kept_video	kept_title	other_videos
12	فراخ محشية	فراخ مشوية / فراخ الشواية	Xac0N7ENte4	اسهل و اسرع فراخ مشويه بتتبيله توووحفه 😋😉 من مطبخي #فاطمه_ابو_حاتي 💪	hhPglwgGjrY qh92rzmUcSw -_1uaxWSNh4 dVPfEnLCNEo ppiqO9UAFAg lXvmc0yfjLE 2ye67swid94 zsq_Rgc6HyQ OeQLgpXcYgk DEmsgsUUCZM 7ZzCIxLKp3A
8	كحك العيد		4WWU3jCqAXs	كحك العيد بأسهل طريقة هتجربوها 😍😋 بمكون جديد هتخلي كعك العيد ناعم ودايب دوب 🤩 - 	VnLn0z77jx0 j48YSSH0Drk 8WreOLmRQOY iYnh6u3gdCQ l5NzNmETD84 1ywWGCMH6EQ eWX1DvmI7rE
6	كفتة الفراخ	فتة بالفراخ	7knBoTqNKZ8	تعالي اقولك علي اسرار كفته الفراخ عشان تطلع زي الحاتي 👌👏♥️	1bLSxdjplAA W3WeQ3N8R5c UYmxP8AdVIw V-JgPYmHwx8 rNs4rE1gjNQ
6	صوص الشكولاته	صوص الشوكولاتة / صوص الشيكولاتة	jiR7CW-Jxjw	صوص الشيكولاته الاقتصادي ب4مكونات بس  👍😋😋 ولا اسهل من كده  💪من مطبخي #فاطمه_ابو_	HhUL6ueeEJg Gs9QeyLXRwc dJxTf3uAGQU w4r20JbY_-0 GXruWNI5ZL8
4	بقلاوة بالقشطة		PE8yGSut6tA	وهو في احلي من البقلاوة بالقشطه😋😋😋طعم وهمي وبتدوب وانتي بتاكليها وبطريقة سهله جد	mnEHopT1RAc 2689k7j0NJQ jED_dsxQkJk
4	عيش فينو		nTSszML7KDI	العيش الفينو (بيتي بان  )الفرن بكل الاسرار وعلى طريقتي 👌.. فاطمة ابو حاتى	lv5rlrs86o4 QFlE3wVN1w4 VIO1Bk-U4cY
4	كفتة الحاتي		3sN8lZk105E	بعد ماتتفرجي هاتعملي كفتة الحاتي احلي من الحاتي نفسه وتحدي💪✌️لمعه جنان وطعم خطير	epgURt4P07I pQsSKOCjxW4 EHOIVEtxVAo
4	كيك بالكريم كراميل		sIU3gr0GF1k	في الحر مفيش أحلي من كيك الصيف المنعشه  (كيكه الكريم كراميل ) بأسهل طريقه ومكونا	-9t8EWWHJ1I Gz_eH3_2qW4 MjDXMqOk8EI
4	بسبوسة بالقشطة		cZPfHnRyFLY	تكات واسرار البسبوسه بالقشطه 😋😍 من مطبخي #فاطمه_ابو_حاتي 💪	B6jYbkl0ra0 3IftOTJW_2U LWAAMBGQmKw
4	كيك السينابون		b5CDCb5llxc	كيكة السينابون الخطييره 😍 من جمالها مش هتبطلي تعمليها 😉❤ من مطبخي | فاطمه ابو حا	RbAQOCp7S04 9GXWPhM_5J8 dxD1kX-JDuk
