label	dish	category	closest_site_recipe	site_id	reason	video_count	main_video
new	تورتة آيس كريم	آيس كريم			تورتة آيس كريم	1	https://www.youtube.com/watch?v=5DS0FFVPyrU
new	تورتة آيس كريم وسبونج كيك	آيس كريم			تورتة آيس كريم بطبقة سبونج كيك	1	https://www.youtube.com/watch?v=wfEzbTmi_0w
new	بطاطس مخللة	أكلات شهية			بطاطس مخللة	1	https://www.youtube.com/watch?v=XPnW2JF0l_s
new	تورتة حادقة	أكلات شهية			تورتة مالحة بدون فرن	1	https://www.youtube.com/watch?v=vfRE3igWOJU
new	جبنة قريش فلاحي	أكلات شهية			جبنة قريش فلاحي بيتي	1	https://www.youtube.com/watch?v=pgGcuimHMbg
new	سويت اند تشيلي صوص	أكلات شهية			صوص سويت تشيلي	1	https://www.youtube.com/watch?v=Sxe1P-6wrTs
new	صوص	أكلات شهية			صوص غير محدد يجمع فيديوهين؛ يحتاج مراجعة	2	https://www.youtube.com/watch?v=1cSTBK01BBw
new	صوص الباربكيو	أكلات شهية			صوص الباربكيو	2	https://www.youtube.com/watch?v=HhVU7BAL-sc
new	صوص السعادة	أكلات شهية			صوص غير محدد الاسم (صوص السعادة)؛ يحتاج مراجعة	1	https://www.youtube.com/watch?v=rdZCxlUJOW8
new	صوص المشروم	أكلات شهية			صوص المشروم	1	https://www.youtube.com/watch?v=Pg7T-WV4tn8
new	صوص رانش	أكلات شهية			صوص الرانش	1	https://www.youtube.com/watch?v=tRzRtXFSLF0
new	صوص سويت تشيلي	أكلات شهية			صوص سويت تشيلي	1	https://www.youtube.com/watch?v=HhVU7BAL-sc
new	فلفل مخلل	أكلات شهية			فلفل مخلل	1	https://www.youtube.com/watch?v=Bl5ogbcd8Q8
new	فول مشوي	أكلات شهية			فول مشوي (تسالي)	1	https://www.youtube.com/watch?v=uWVGD_6atbo
new	كيك حادق بالزيتون والجبنة	أكلات شهية			كيك مالح بالزيتون والجبن	1	https://www.youtube.com/watch?v=u3udx9kKmCw
new	كيك مالح	أكلات شهية			كيك مالح	2	https://www.youtube.com/watch?v=t-vFSvbYwNE
new	مافن مالح	أكلات شهية			مافن مالح	1	https://www.youtube.com/watch?v=FZvI1QF56Go
new	مخلل مشكل	أكلات شهية			مخلل مشكل	1	https://www.youtube.com/watch?v=r_abriMCg4M
new	مخلل مشكل سريع	أكلات شهية			مخلل مشكل سريع	1	https://www.youtube.com/watch?v=0Bu5H7wfBuk
